fiscal_year,CBO_OUTLAYS_nominal,CBO_OUTLAYS_real2024,CBO_MAND_Total_nominal,CBO_MAND_Total_real2024,CBO_MAND_Social_Security_nominal,CBO_MAND_Social_Security_real2024,CBO_MAND_Medicaid_nominal,CBO_MAND_Medicaid_real2024,CBO_MAND_Income_securityᵇ_nominal,CBO_MAND_Income_securityᵇ_real2024,CBO_OUT_Net_interest_nominal,CBO_OUT_Net_interest_real2024,CBO_REVENUES_nominal,CBO_REVENUES_real2024,CBO_REV_Individual_income_taxes_nominal,CBO_REV_Individual_income_taxes_real2024,CBO_REV_Corporate_income_taxes_nominal,CBO_REV_Corporate_income_taxes_real2024,CBO_REV_Payroll_taxes_nominal,CBO_REV_Payroll_taxes_real2024,CBO_REV_Customs_duties_nominal,CBO_REV_Customs_duties_real2024,CBO_REV_Excise_taxes_nominal,CBO_REV_Excise_taxes_real2024,CBO_DEBT_HELD_nominal,CBO_DEBT_HELD_real2024,CBO_OUT_GDP_Net_interest,CBO_REV_GDP_Customs_duties,CBO_REV_GDP_Individual_income_taxes,CBO_REV_GDP_Corporate_income_taxes,CBO_MAND_GDP_Total
2000,1788.95,3264.796642100639,951.375,1736.2396407828587,406.048,741.0291774122699,117.921,215.20337898384497,133.939,244.43589672507193,222.949,406.87730040509535,2025.191,3695.931566791937,1004.462,1833.122314607838,207.289,378.2981252379325,652.852,1191.4413579969737,19.914,36.34263692713163,68.865,125.67719654448726,3409.804,6222.82157098931,2.204,0.197,9.928,2.049,9.404
2001,1862.846,3293.8732506738534,1007.638,1781.6995363881397,429.368,759.2059514824796,129.374,228.75833962264144,143.115,253.0550943396226,206.167,364.54326684636106,1991.082,3520.6193854447433,994.339,1758.1843234501343,151.075,267.12991913746623,693.967,1227.0683342318055,19.369,34.24815094339622,66.232,117.11102964959565,3319.615,5869.723557951481,1.959,0.184,9.447,1.435,9.573
2002,2010.894,3503.1377398434583,1105.995,1926.7315057771148,452.073,787.5472240029816,147.512,256.9776697726425,180.349,314.182342899739,170.949,297.8067931420052,1853.136,3228.3107208348856,858.345,1495.3054528512857,148.044,257.90445620573985,700.76,1220.779813641446,18.602,32.40616772269847,66.989,116.70018114051435,3540.427,6167.706223630264,1.579,0.172,7.926,1.367,10.213
2003,2159.899,3675.8883713986615,1182.487,2012.4506806244594,470.453,800.6544342997587,160.693,273.4801627600018,196.151,333.8254149560785,153.073,260.51183906057986,1782.314,3033.284105775795,793.699,1350.7802561558417,131.778,224.2703097719721,712.978,1213.4028208092484,19.862,33.80273560602612,67.524,114.91772827818487,3913.443,6660.2093967502615,1.357,0.176,7.037,1.168,10.484
2004,2292.841,3813.6164170632974,1237.531,2058.349679818513,491.537,817.5593391753034,176.231,293.11994804501575,190.594,317.00951238823893,160.245,266.5308945331613,1880.114,3127.139481695654,808.959,1345.5182121791734,189.371,314.9753317023264,733.407,1219.8547459632578,21.083,35.06674685289799,69.855,116.187810150794,4295.544,7144.65465272897,1.332,0.175,6.725,1.574,10.288
2005,2471.957,3980.5097172387054,1319.43,2124.6340192067523,518.712,835.2645925670728,181.72,292.6176409284699,196.873,317.0180102493432,183.986,296.2665049739459,2153.611,3467.887796046681,927.222,1493.0745886912705,278.282,448.10820136944994,794.125,1278.7529391499072,23.379,37.646422117910504,73.094,117.70082459842381,4592.212,7394.685461608026,1.433,0.182,7.221,2.167,10.276
2006,2655.05,4124.53799750727,1411.823,2193.223332613211,543.911,844.9489036975485,180.625,280.5953469048608,200.045,310.76371582883246,226.603,352.02074682176976,2406.869,3738.9964955546316,1043.908,1621.6787675945154,353.915,549.7959983381802,837.821,1301.5289917739922,24.81,38.54156709597007,73.961,114.89612430411297,4828.972,7501.658538595761,1.662,0.182,7.655,2.595,10.353
2007,2728.686,4141.439382772224,1449.987,2200.7051255834303,581.442,882.4785254140078,190.624,289.3179137876518,203.11,308.26843141162686,237.109,359.870117195507,2567.985,3897.5368413105534,1163.472,1765.8494827007448,370.243,561.9330847872333,869.607,1319.8384414089437,26.01,39.47645069674765,65.069,98.75790735819578,5035.129,7642.023134189321,1.657,0.182,8.133,2.588,10.136
2008,2982.544,4334.411667121393,1594.903,2317.8086127570664,612.11,889.5549321524431,201.426,292.72433347558115,260.654,378.79801226129763,252.757,367.3216186405304,2523.991,3668.014969136882,1145.747,1665.0681982795008,304.346,442.29384486590226,900.155,1308.1591869952824,27.568,40.063469588110884,67.334,97.85380373062456,5803.05,8433.340002658402,1.708,0.186,7.743,2.057,10.779
2009,3517.677,5127.527583625964,2093.241,3051.2042369657015,677.726,987.8845497015475,250.924,365.75834887448775,350.22,510.49675974726654,186.902,272.43694075233736,2104.989,3068.3286614232165,915.308,1334.194986496348,138.229,201.48894010366317,890.917,1298.6415444684926,22.453,32.72852420365877,62.483,91.07809102646466,7544.707,10997.511497751471,1.292,0.155,6.327,0.955,14.469
2010,3457.079,4954.837331035564,1913.724,2742.8332174355005,700.752,1004.3485177509201,272.771,390.94736730745865,437.291,626.744650997525,196.194,281.1938504515492,2162.706,3099.6851460017547,898.549,1287.8398581474924,191.437,274.375909298415,864.814,1239.4893757424086,25.298,36.25820376119194,66.909,95.89691499160377,9018.882,12926.257461228015,1.318,0.17,6.037,1.286,12.857
