year,q1_share,q2_share,q3_share,q4_share,q5_share,top5_share,bottom50_share,top10_share
2000,3.6,8.9,14.8,23.0,49.8,22.1,19.9,35.95
2001,3.5,8.7,14.6,23.0,50.1,22.4,19.5,36.25
2002,3.5,8.8,14.8,23.3,49.7,21.7,19.700000000000003,35.7
2003,3.4,8.7,14.8,23.4,49.8,21.4,19.5,35.599999999999994
2004,3.4,8.7,14.7,23.2,50.1,21.8,19.45,35.95
2005,3.4,8.6,14.6,23.0,50.4,22.2,19.3,36.3
2006,3.4,8.6,14.5,22.9,50.5,22.3,19.25,36.4
2007,3.4,8.7,14.8,23.4,49.7,21.2,19.5,35.45
2008,3.4,8.6,14.7,23.3,50.0,21.5,19.35,35.75
2009,3.4,8.6,14.6,23.2,50.3,21.7,19.3,36.0
2010,3.3,8.5,14.6,23.4,50.3,21.3,19.1,35.8
2011,3.2,8.4,14.3,23.0,51.1,22.3,18.75,36.7
2012,3.2,8.3,14.4,23.0,51.0,22.3,18.7,36.65
2013,3.2,8.4,14.4,23.0,51.0,22.2,18.8,36.6
2014,3.1,8.2,14.3,23.2,51.2,21.9,18.45,36.55
2015,3.1,8.2,14.3,23.2,51.1,22.1,18.45,36.6
2016,3.1,8.3,14.2,22.9,51.5,22.6,18.5,37.05
2017,3.1,8.2,14.3,23.0,51.5,22.3,18.45,36.9
2018,3.1,8.3,14.1,22.6,52.0,23.1,18.45,37.55
2019,3.1,8.3,14.1,22.7,51.9,23.0,18.45,37.45
2020,3.0,8.1,14.0,22.6,52.2,23.0,18.1,37.6
2021,3.0,8.1,14.0,22.7,52.3,23.5,18.1,37.9
2022,3.0,8.0,14.0,22.7,52.3,23.4,18.0,37.849999999999994
2023,3.0,8.0,14.0,22.6,52.4,23.5,18.0,37.95
