fiscal_year,safety_net_nominal,safety_net_real2024,safety_net_share_of_outlays,interest_crowding_ratio,interest_real2024,regressive_rev_share,customs_share_of_rev,progressive_rev_share,total_outlays_real2024,total_rev_real2024,customs_real2024
2000,251.86,459.63927570891695,14.078649487129322,0.885210037322322,406.87730040509535,36.62029902364765,0.9833146601974827,59.83391196188409,3264.796642100639,3695.931566791937,36.34263692713163
2001,272.48900000000003,481.81343396226407,14.627564490032993,0.7566066887103698,364.54326684636106,39.1529831518742,0.972787660176728,57.52721384654173,3293.8732506738534,3520.6193854447433,34.24815094339622
2002,327.861,571.1600126723815,16.304240800360436,0.5214069376961579,297.8067931420052,42.43352889372394,1.003811916664508,54.30734711321781,3503.1377398434583,3228.3107208348856,32.40616772269847
2003,356.84400000000005,607.3055777160803,16.521328080618588,0.4289633565367499,260.51183906057986,44.90589200331703,1.114393984449429,51.92558662502791,3675.8883713986615,3033.284105775795,33.80273560602612
2004,366.825,610.1294604332546,15.998710769739377,0.43684318135350647,266.5308945331613,43.84547958262105,1.121368172355506,53.099439714825806,3813.6164170632974,3127.139481695654,35.06674685289799
2005,378.59299999999996,609.635651177813,15.315517219757464,0.4859730634216692,296.2665049739459,41.353707795883295,1.0855720926388286,55.975939944586095,3980.5097172387054,3467.887796046681,37.646422117910504
2006,380.66999999999996,591.3590627336932,14.337583096363533,0.5952741219428902,352.02074682176976,38.913293577672896,1.030799765172097,58.07640548779347,4124.53799750727,3738.9964955546316,38.54156709597007
2007,393.73400000000004,597.5863451992786,14.429435999598342,0.6022060578969558,359.870117195507,37.410109482726725,1.012856383506913,59.7244532191582,4141.439382772224,3897.5368413105534,39.47645069674765
2008,462.08,671.5223457368788,15.492814188156151,0.5469983552631579,367.3216186405304,39.42395198715051,1.0922384430055416,57.45238394273196,4334.411667121393,3668.014969136882,40.063469588110884
2009,601.144,876.2551086217543,17.089232467904246,0.3109105305883449,272.43694075233736,46.35905460788631,1.066656405330384,50.0495251994191,5127.527583625964,3068.3286614232165,32.72852420365877
2010,710.062,1017.6920183049837,20.539362855173398,0.27630544938329327,281.1938504515492,44.251090994337645,1.1697382815787258,50.399175847295,4954.837331035564,3099.6851460017547,36.25820376119194
2011,679.0029999999999,948.4118852564648,18.84514989321591,0.3386759705038122,321.2043156765834,39.96985412417635,1.2815036123823837,55.24535634561135,5032.657689806356,3217.415139085053,41.23129123271265
2012,604.1220000000001,823.8066328795029,17.130616977493386,0.36484021439378134,300.55778855877696,38.96677129294406,1.2370254572467643,56.10206572271723,4808.972344439431,3340.91129356066,41.327923205377544
2013,604.899,811.5554600022028,17.508533579014735,0.3651601341711591,296.34770066174116,38.327977381764875,1.1464426944412214,57.29190164267599,4635.199494804704,3723.1875509545785,42.684211678263786
2014,612.37,808.4209429237294,17.464928682331493,0.3738850694841354,302.2565204174688,38.08556768827046,1.122823135994779,56.76995231824288,4628.824758623684,3988.824735463138,44.78744698406265
2015,650.774,856.4675322005859,17.627314219158414,0.3429470138634918,293.72298263922494,36.88054057214244,1.0782211090221514,57.989624264205865,4858.752283826233,4277.099681645797,46.11659162142422
2016,671.9849999999999,876.3639963001867,17.442308665672535,0.3571999374986049,313.0371647044543,38.094930637262024,1.066045688983817,56.47692065245498,5024.357802043266,4261.891064784393,45.43370596532052
2017,668.436,854.1679608740658,16.78798201944227,0.39278405112830544,335.50355201611944,38.60744759639393,1.0425838855745035,56.81735392246027,5087.972812246572,4237.620542824149,44.18074891127939
2018,674.341,841.4028499961291,16.411392508264218,0.48191493621179793,405.4846007843096,39.24992499790535,1.240244847678929,56.70641852760452,5126.943673868183,4154.861175610055,51.5304516587159
2019,711.938,872.1549551485763,16.00957239925234,0.5269531897440508,459.58483556662185,40.793026664248984,2.0437932599634343,56.248837835122146,5447.709241686596,4242.771244242046,86.71347272548569
2020,1509.365,1822.551152888049,23.031011868249916,0.22888433215292525,417.1534034433251,42.83004264045803,2.0037332323150836,53.21311693914702,7913.465388815943,4131.039471843517,82.77501073738205
2021,1896.83,2217.3868585480964,27.802723973064847,0.18575096344954478,411.8817453156684,36.3060711702743,1.976348066559084,59.70204424835396,7975.430251713072,4731.056945791371,93.50215247595699
2022,1172.619,1270.1029326755122,18.692335613008925,0.4058325850084299,515.449156394491,34.123898713158304,2.0400466457396558,62.42187849360643,6794.779202399857,5304.471977859954,108.21370265853196
2023,1063.872,1096.6385945489371,17.341951233586535,0.6187464281417313,678.5412133395232,39.869775552427086,1.8090281624554034,58.457450976683354,6323.617105006346,4577.726430609052,82.81236032988227
2024,987.702,987.702,14.630766824236808,0.890834482465359,879.879,38.36266025025392,1.565809593439519,60.081388114310855,6750.856,4919.883,77.036
2025,1065.559,1037.5205293405377,15.2005867058793,0.910262125325768,944.4156421066336,39.14510634590961,3.7226417372353584,59.376523511944335,6825.529497090033,5096.875502167827,189.7384147386238
